CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NRV36MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;1;401;201;301;501;687;7337;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV37MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;1;401;201;301;501;687;7337;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV38MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;1;401;201;301;501;687;7337;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV39MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;1;401;201;301;501;687;7337;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV40MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;1;401;201;301;501;687;7337;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNV36NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;1;401;201;301;501;688;7338;136;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV37NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;1;401;201;301;501;688;7338;137;5;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV38NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;1;401;201;301;501;688;7338;138;5;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV39NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;1;401;201;301;501;688;7338;139;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV40NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;1;401;201;301;501;688;7338;140;5;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR36NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;1;401;201;301;501;688;7339;136;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR37NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;1;401;201;301;501;688;7339;137;5;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR38NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;1;401;201;301;501;688;7339;138;5;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR39NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;1;401;201;301;501;688;7339;139;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR40NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;1;401;201;301;501;688;7339;140;5;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM36NEW-30003;ZAPATO NEW BALANCE AZUL MARINO ROJO;1;401;201;301;501;688;7310;136;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM37NEW-30003;ZAPATO NEW BALANCE AZUL MARINO ROJO;1;401;201;301;501;688;7310;137;5;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM38NEW-30003;ZAPATO NEW BALANCE AZUL MARINO ROJO;1;401;201;301;501;688;7310;138;5;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM39NEW-30003;ZAPATO NEW BALANCE AZUL MARINO ROJO;1;401;201;301;501;688;7310;139;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM40NEW-30003;ZAPATO NEW BALANCE AZUL MARINO ROJO;1;401;201;301;501;688;7310;140;5;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF36NEW-40004;ZAPATO NEW BALANCE AZUL MARINO FUCSIA;1;401;201;301;501;688;7314;136;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF37NEW-40004;ZAPATO NEW BALANCE AZUL MARINO FUCSIA;1;401;201;301;501;688;7314;137;5;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF38NEW-40004;ZAPATO NEW BALANCE AZUL MARINO FUCSIA;1;401;201;301;501;688;7314;138;5;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF39NEW-40004;ZAPATO NEW BALANCE AZUL MARINO FUCSIA;1;401;201;301;501;688;7314;139;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF40NEW-40004;ZAPATO NEW BALANCE AZUL MARINO FUCSIA;1;401;201;301;501;688;7314;140;5;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF36NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;1;401;201;301;501;688;7114;136;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF37NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;1;401;201;301;501;688;7114;137;5;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF38NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;1;401;201;301;501;688;7114;138;5;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF39NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;1;401;201;301;501;688;7114;139;5;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF40NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;1;401;201;301;501;688;7114;140;5;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNR36RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;1;401;201;301;501;689;7342;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR37RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;1;401;201;301;501;689;7342;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR38RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;1;401;201;301;501;689;7342;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR39RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;1;401;201;301;501;689;7342;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR40RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;1;401;201;301;501;689;7342;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB36RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;1;401;201;301;501;689;7009;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB37RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;1;401;201;301;501;689;7009;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB38RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;1;401;201;301;501;689;7009;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB39RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;1;401;201;301;501;689;7009;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB40RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;1;401;201;301;501;689;7009;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN36RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;401;201;301;501;689;7122;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN37RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;401;201;301;501;689;7122;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN38RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;401;201;301;501;689;7122;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN39RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;401;201;301;501;689;7122;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN40RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;401;201;301;501;689;7122;140;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN41RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;402;201;301;501;689;7122;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN42RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;402;201;301;501;689;7122;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN43RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;402;201;301;501;689;7122;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN44RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;402;201;301;501;689;7122;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNN45RUN-30003;ZAPATO NIKE JOYRIDE RUN NEGRO NARANJA;1;402;201;301;501;689;7122;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NAMN36RUN-40004;ZAPATO NIKE JOYRIDE RUN AZUL MARINO NEGRO;1;401;201;301;501;689;7087;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NAMN37RUN-40004;ZAPATO NIKE JOYRIDE RUN AZUL MARINO NEGRO;1;401;201;301;501;689;7087;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
