CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NRV36MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;ROSA VIEJA;36;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV37MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;ROSA VIEJA;37;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV38MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;ROSA VIEJA;38;NIKE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV39MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;ROSA VIEJA;39;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NRV40MAX-80008;ZAPATO NIKE AIR MAX ROSA VIEJA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;ROSA VIEJA;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNV36NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO VERDE AGUA;36;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV37NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO VERDE AGUA;37;NEW BALANCE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV38NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO VERDE AGUA;38;NEW BALANCE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV39NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO VERDE AGUA;39;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNV40NEW-10001;ZAPATO NEW BALANCE NEGRO VERDE AGUA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO VERDE AGUA;40;NEW BALANCE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR36NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;GRIS ROSADO;36;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR37NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;GRIS ROSADO;37;NEW BALANCE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR38NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;GRIS ROSADO;38;NEW BALANCE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR39NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;GRIS ROSADO;39;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NGR40NEW-20002;ZAPATO NEW BALANCE GRIS ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;GRIS ROSADO;40;NEW BALANCE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM36NEW-30003;ZAPATO NEW BALANCE AZUL MARIÑO ROJO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO ROJO;36;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM37NEW-30003;ZAPATO NEW BALANCE AZUL MARIÑO ROJO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO ROJO;37;NEW BALANCE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM38NEW-30003;ZAPATO NEW BALANCE AZUL MARIÑO ROJO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO ROJO;38;NEW BALANCE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM39NEW-30003;ZAPATO NEW BALANCE AZUL MARIÑO ROJO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO ROJO;39;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAM40NEW-30003;ZAPATO NEW BALANCE AZUL MARIÑO ROJO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO ROJO;40;NEW BALANCE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF36NEW-40004;ZAPATO NEW BALANCE AZUL MARIÑO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO FUCSIA ;36;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF37NEW-40004;ZAPATO NEW BALANCE AZUL MARIÑO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO FUCSIA ;37;NEW BALANCE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF38NEW-40004;ZAPATO NEW BALANCE AZUL MARIÑO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO FUCSIA ;38;NEW BALANCE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF39NEW-40004;ZAPATO NEW BALANCE AZUL MARIÑO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO FUCSIA ;39;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NAMF40NEW-40004;ZAPATO NEW BALANCE AZUL MARIÑO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;AZUL MARIÑO FUCSIA ;40;NEW BALANCE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF36NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO FUCSIA;36;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF37NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO FUCSIA;37;NEW BALANCE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF38NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO FUCSIA;38;NEW BALANCE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF39NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO FUCSIA;39;NEW BALANCE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNF40NEW-50005;ZAPATO NEW BALANCE NEGRO FUCSIA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;NEW BALANCE;NEGRO FUCSIA;40;NEW BALANCE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;NEW
NNR36RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;NEGRO ROSADO;36;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR37RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;NEGRO ROSADO;37;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR38RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;NEGRO ROSADO;38;NIKE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR39RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;NEGRO ROSADO;39;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NNR40RUN-10001;ZAPATO NIKE JOYRIDE RUN NEGRO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;NEGRO ROSADO;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB36RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;BLANCO;36;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB37RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;BLANCO;37;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB38RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;BLANCO;38;NIKE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB39RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;BLANCO;39;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
NB40RUN-20002;ZAPATO NIKE JOYRIDE RUN WHITE;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;JOYRIDE RUN;BLANCO;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;RUN
