CO_ART,ART DES,CAT,GENERAL,SUB CAT ,LIN,SUB-LIN,MODELO,COLOR,TALLA,MARCA,NUM-REG,REF,CANT UNI_BULTO,TOT-BULTOS,UNI-BLTOS,TOT-UNI,FALTANTES,NOTA,PRECIO COSTO,PRECIO VENTA,CO_SENCAMER,IVA,RIF_LIMPIO,ID_USER,MODELO
BNNLB5000-30003,BOLSO NIKE NEGRO LOGO BLANCO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO BLANCO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNLA5000-40004,BOLSO NIKE NEGRO LOGO AZUL,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO AZUL,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNG61784-10001,BOLSO NIKE GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNN61784-20002,BOLSO NIKE NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNR61784-30003,BOLSO NIKE ROJO ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,ROJO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNAR61784-40004,BOLSO NIKE AZUL REY,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,AZUL REY,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNN61606-10001,BOLSO NIKE NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNR61606-20002,BOLSO NIKE ROJO ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,ROJO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNAR61606-30003,BOLSO NIKE AZUL REY,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,AZUL REY,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNGP61606-40004,BOLSO NIKE GRIS PLOMO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS PLOMO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNG61606-50005,BOLSO NIKE GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BANNAD325-10001,BOLSO ADIDAS NEGRO NARANJA,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO NARANJA,UNICA,ADIDAS,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BANAAD325-20002,BOLSO ADIDAS NEGRO AZUL,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO AZUL,UNICA,ADIDAS,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BANVAD325-30003,BOLSO ADIDAS NEGRO VERDE ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO VERDE,UNICA,ADIDAS,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BANGAD325-40004,BOLSO ADIDAS NEGRO GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO GRIS,UNICA,ADIDAS,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNVC2007-10001,BOLSO NIKE VERDE CAMUFLADO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,VERDE CAMUFLADO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNGC2007-20002,BOLSO NIKE GRIS CAMUFLADO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS CAMUFLADO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNRC2007-30003,BOLSO NIKE ROJO CAMUFLADO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,ROJO CAMUFLADO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNAC2007-40004,BOLSO NIKE AZUL CAMUFLADO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,AZUL CAMUFLADO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNR6647-10001,BOLSO NIKE ROJO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,ROJO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNG6647-20002,BOLSO NIKE GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNAR6647-30003,BOLSO NIKE AZUL REY,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,AZUL REY,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNN6647-40004,BOLSO NIKE NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNN2062-10001,BOLSO NIKE NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNG2062-20002,BOLSO NIKE NEGRO GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNGP2062-30003,BOLSO NIKE GRIS PLOMO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS PLOMO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNFN2062-40004,BOLSO NIKE FUCSIA NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,FUCSIA NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNM2062-50005,BOLSO NIKE MARRON,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,MARRON,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BJN2093-10001,BOLSO JORDAN NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO ,UNICA,JORDAN,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
