CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
EABNM43EA-60006;ZAPATO EMPORIO ARMANI BLANCO NEGRO MOSTAZA;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO NEGRO MOSTAZA;43;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABNM44EA-60006;ZAPATO EMPORIO ARMANI BLANCO NEGRO MOSTAZA;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO NEGRO MOSTAZA;44;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABNM45EA-60006;ZAPATO EMPORIO ARMANI BLANCO NEGRO MOSTAZA;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO NEGRO MOSTAZA;45;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANMM40EA-70007;ZAPATO EMPORIO ARMANI NEGRO MARRON MOSTAZA ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO MARRON MOSTAZA ;40;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANMM41EA-70007;ZAPATO EMPORIO ARMANI NEGRO MARRON MOSTAZA ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO MARRON MOSTAZA ;41;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANMM42EA-70007;ZAPATO EMPORIO ARMANI NEGRO MARRON MOSTAZA ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO MARRON MOSTAZA ;42;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANMM43EA-70007;ZAPATO EMPORIO ARMANI NEGRO MARRON MOSTAZA ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO MARRON MOSTAZA ;43;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANMM44EA-70007;ZAPATO EMPORIO ARMANI NEGRO MARRON MOSTAZA ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO MARRON MOSTAZA ;44;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANMM45EA-70007;ZAPATO EMPORIO ARMANI NEGRO MARRON MOSTAZA ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO MARRON MOSTAZA ;45;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;UNDER
UAN40UNDER-10001;BOTA UNDER ARMOUR VALSETZ NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;NEGRO;40;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAN41UNDER-10001;BOTA UNDER ARMOUR VALSETZ NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;NEGRO;41;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAN42UNDER-10001;BOTA UNDER ARMOUR VALSETZ NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;NEGRO;42;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAN43UNDER-10001;BOTA UNDER ARMOUR VALSETZ NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;NEGRO;43;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAN44UNDER-10001;BOTA UNDER ARMOUR VALSETZ NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;NEGRO;44;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAN45UNDER-10001;BOTA UNDER ARMOUR VALSETZ NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;NEGRO;45;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAB40UNDER-20002;BOTA UNDER ARMOUR VALSETZ BIEGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;BEIGE;40;UNDER ARMOUR;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAB41UNDER-20002;BOTA UNDER ARMOUR VALSETZ BIEGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;BEIGE;41;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAB42UNDER-20002;BOTA UNDER ARMOUR VALSETZ BIEGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;BEIGE;42;UNDER ARMOUR;;;3;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAB43UNDER-20002;BOTA UNDER ARMOUR VALSETZ BIEGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;BEIGE;43;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAB44UNDER-20002;BOTA UNDER ARMOUR VALSETZ BIEGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;BEIGE;44;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
UAB45UNDER-20002;BOTA UNDER ARMOUR VALSETZ BIEGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTA;UNDER ARMOUR;BEIGE;45;UNDER ARMOUR;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;UNDER
