CO_ART;ART_DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
JBN44M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;44;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBN45M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;45;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG40M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;40;JODAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG41M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;41;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG42M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;42;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG43M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;43;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG44M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;44;JORDAN;;;2;;;;;;1;40;0005700003577CI11;1;25998807;;M813
JBG45M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;45;JORDAN;;;2;;;;;;1;40;0005700003577CI11;1;25998807;;M813
NAB35AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;35;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB36AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;36;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB37AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;37;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB38AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;38;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB39AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;39;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB40AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;40;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NDC39AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;39;NIKE;;;5;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC40AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;40;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC41AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;41;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC42AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;42;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDCA43D3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;43;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC44AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;44;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC45AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;45;NIKE;;;5;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
